"review","rating","sentiment","review_processed","document_no","dominant_topic","Label","topic_perc_contrib","keywords","Text"
Mudah aksesnya. Terima kasih Lazada.,2,0,mudah akses,330,1,,0.5071,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['mudah', 'akses']"
"Sudah berkali-kali beli gadget disini terbukti ori, pengiriman aman dan cepat. Beli kebutuhan baby juga harganya sangat bersaing dengan toko2 retail ternama. Situs belanja online paling terpercaya dibandingkan olshop yang lain menurut saya. Good JD.ID!",5,2,beli gadget bukti ori kirim aman cepat beli butuh baby harga saing toko retail nama situs belanja online percaya banding olshop,796,1,,0.5043,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['beli', 'gadget', 'bukti', 'asli', 'kirim', 'aman', 'cepat', 'beli', 'butuh', 'baby', 'harga', 'saing', 'toko', 'retail', 'nama', 'situs', 'belanja', 'online', 'percaya', 'banding', 'olshop']"
Baguus aplikasi a jd terbantu,5,2,baguus aplikasi bantu,856,1,,0.5036,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['baguus', 'aplikasi', 'bantu']"
"Pembelian pakai cc ribet, di tolak terus sama penyedia layanan",2,0,beli pakai cc ribet tolak sedia layan,0,1,,0.4963,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['beli', 'pakai', 'cc', 'ribet', 'tolak', 'sedia', 'layan']"
"apknya ok banget,barangnya lengkap,harga lebih murah",5,2,apknya barang lengkap harga murah,920,1,,0.4961,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['aplikasi', 'barang', 'lengkap', 'harga', 'murah']"
aplikasi belanja yg sangat murah dan responnya cepat,5,2,aplikasi belanja murah responnya cepat,881,1,,0.4927,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['aplikasi', 'belanja', 'murah', 'respon', 'cepat']"
Sebagai salasatu pendukung program prakerja aplikasi ini sangat membantu cara pembayaran dan transaksi tidak teralu sulit..sukses trus buat tokopedia..terimakash,5,2,salasatu dukung program aplikasi bantu bayar transaksi alu sulit sukses terimakash,847,1,,0.4909,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['salasatu', 'dukung', 'program', 'aplikasi', 'bantu', 'bayar', 'transaksi', 'alu', 'sulit', 'sukses', 'terimakash']"
Sy sering belanja onlen d lazada. Alhamdulilah pengiriman ny slalu lancar,1,0,belanja onlen alhamdulilah kirim ny slalu lancar,233,1,,0.4868,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['belanja', 'onlen', 'alhamdulilah', 'kirim', 'ny', 'selalu', 'lancar']"
yang penting terbaik aja tolong masukan toko belanja yang terbaik aja disini. lazada jangan toko belanja asal asal aja yang suka nipu orang pelanggan yang merugikan pelanggan yang penting terbaik aja buat lazada??,5,2,tolong toko belanja toko belanja nipu langgan rugi langgan,919,1,,0.48,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['tolong', 'toko', 'belanja', 'toko', 'belanja', 'tipu', 'langgan', 'rugi', 'langgan']"
Sangat membantu untuk proses pembayaran prakerja di skillacademy lancar tanpa hambatan sedikitpun,5,2,bantu proses bayar skillacademy lancar hambat,959,1,,0.4787,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['bantu', 'proses', 'bayar', 'skillacademy', 'lancar', 'hambat']"
Udah gak gratis ongkir lagi kek dulu .. :(,3,1,gratis ongkir kek,744,2,,0.7973,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['gratis', 'ongkir', 'seperti']"
"Oke bgt ,cepat,gratis ongkir nya di banyakin ya biar belanja terus kak sukses selalu mksh kak",5,2,cepat gratis ongkir banyakin belanja sukses mksh,811,1,,0.4763,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['cepat', 'gratis', 'ongkir', 'banyakin', 'belanja', 'sukses', 'mksh']"
Puas blanja di jd.id cpt nyampe bisa COD...sipp,5,2,blanja cpt nyampe cod sipp,871,1,,0.4691,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['belanja', 'cepat', 'nyampe', 'cod', 'sipp']"
Aku suka belanja di toko pedia tapi nggak dapet diskon,2,0,belanja toko diskon,356,1,,0.4652,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['belanja', 'toko', 'diskon']"
wlo sering ngadat tp saya suka belanja online jadi gpp lah,3,1,wlo ngadat belanja online,465,1,,0.4548,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['wlo', 'ngadat', 'belanja', 'online']"
"tidak bisa transaksi, tolong di bantu",1,0,transaksi tolong bantu,164,1,,0.4523,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['transaksi', 'tolong', 'bantu']"
Belnja mudh dn hemat,3,1,belnja mudh dn hemat,783,1,,0.45,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['belnja', 'mudh', 'dn', 'hemat']"
Lazada apl olshop yg mudah d pahami??????,5,2,apl olshop mudah paham,861,1,,0.45,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['aplikasi', 'olshop', 'mudah', 'paham']"
Aplikasi belanja terbaik dan termurah ongkirnya ????????,5,2,aplikasi belanja murah ongkirnya,982,1,,0.4432,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['aplikasi', 'belanja', 'murah', 'ongkir']"
"Bertahun tahun pake buka lapak pelayanannya bagus ,sekarang malah terlalu melingdungi pelapak, penilaian jelek ke pelapak pun akan di hapus oleh pihak BL, jadi seolah semuanya bagus dari pelapaknya hingga pemikiran orang yg belanja di BL mungkin penyedia layanan belanja online dsni bagus juga,",1,0,pake layan melingdungi nilai hapus bl olah pikir belanja bl sedia layan belanja online dsni,29,1,,0.4361,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['pakai', 'layan', 'melingdungi', 'nilai', 'hapus', 'beli', 'olah', 'pikir', 'belanja', 'beli', 'sedia', 'layan', 'belanja', 'online', 'dsni']"
"Aplikasi ny bagus bgt, memudahkan buat belanja online, menyenangkan jg, sangat mudah buat di gunakan, yg lain hrs download sii, aplikasi belanja online nomor satu di Indonesia",5,2,aplikasi ny mudah belanja online jg mudah hrs download sii aplikasi belanja online nomor indonesia,824,1,,0.4288,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['aplikasi', 'ny', 'mudah', 'belanja', 'online', 'juga', 'mudah', 'harus', 'unduh', 'sii', 'aplikasi', 'belanja', 'online', 'nomor', 'indonesia']"
Aku sangat suka shopee disitu murah murah dan in shaa allah gak akan nyesel deh dan pindah ke aplikasi belanja lain terimakasih shopee,1,0,murah murah shaa allah pindah aplikasi belanja,331,1,,0.4268,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['murah', 'murah', 'shaa', 'allah', 'pindah', 'aplikasi', 'belanja']"
Saat yang lain gangguan Blibli masih mudah diakses tapi pembayaran nya untuk ibanking terbatas sekali mohon untuk semua bank agar lebih mudah,3,1,ganggu mudah akses bayar ibanking batas bank mudah,603,1,,0.4236,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['ganggu', 'mudah', 'akses', 'bayar', 'ibanking', 'batas', 'bank', 'mudah']"
Makin parah....pesan tggal 27 baru di proses tggal 2??????kmna aje...,2,0,pesan tggal proses tggal kmna aje,443,1,,0.4215,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['pesan', 'tggal', 'proses', 'tggal', 'kmna', 'aje']"
mantap lazada ngebantu banget kebutuhan,3,1,ngebantu butuh,467,1,,0.4167,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['ngebantu', 'butuh']"
Sulit belanja di sini.klo pkae cod nya mhn di permudah dong...,1,0,sulit belanja pkae cod mhn mudah,433,1,,0.4152,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['sulit', 'belanja', 'pkae', 'cod', 'mohon', 'mudah']"
Aplikasi Blanja Online yg amanah... Kurirnya pun ramah dan profesional...,5,2,aplikasi blanja online amanah kurir ramah profesional,846,1,,0.4059,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['aplikasi', 'belanja', 'online', 'amanah', 'kurir', 'ramah', 'profesional']"
"shoppe online shop no satu, tingkatkan terus kaaa. semoga semakin sukses",3,1,shoppe online shop no tingkat kaaa sukses,614,1,,0.402,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['shoppe', 'online', 'shop', 'no', 'tingkat', 'kaaa', 'sukses']"
Saya bloom bisa menyatakan bner tida nya tntang bonus hadiah ini karna bloom Sy menerima nya,3,1,bloom bner tida tntang bonus hadiah bloom,578,1,,0.3924,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['bloom', 'bner', 'tida', 'tntang', 'bonus', 'hadiah', 'bloom']"
"Awalnya penasaran , terus download, saya cari cari barang yang saya mau sama sekali tidak ada, 1.tidak lenkap 2. Susah pencarianya 3.mahal pula 4.tidak mudah/tidak memudahkan Uninstall",1,0,penasaran download cari cari barang lenkap susah pencarianya mahal mudah mudah uninstall,170,1,,0.384,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['penasaran', 'unduh', 'cari', 'cari', 'barang', 'lenkap', 'susah', 'pencarianya', 'mahal', 'mudah', 'mudah', 'uninstall']"
Deploper tolong perbaiki lg .segi pasilitas bonus koin saya berbelanja menggunakan koin dan bonus harga tidak berkurang malah naik,1,0,deploper tolong lg segi pasilitas bonus koin belanja koin bonus harga,40,1,,0.3831,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['deploper', 'tolong', 'lagi', 'segi', 'pasilitas', 'bonus', 'koin', 'belanja', 'koin', 'bonus', 'harga']"
Ko saya ga bisa lihat riwayat pembelian saya katanya fitur ini belum tersedia aplikasi ini berat dan ribet,3,1,riwayat beli fitur sedia aplikasi berat ribet,781,1,,0.3781,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['riwayat', 'beli', 'fitur', 'sedia', 'aplikasi', 'berat', 'ribet']"
Aku merasa aman belanja di shope daripada di olshop dan lebih menariknya ada cashbacknya ??,5,2,aman belanja shope olshop tarik cashbacknya,798,1,,0.3717,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['aman', 'belanja', 'shope', 'olshop', 'tarik', 'cashbacknya']"
"Suka bngt sma aplikasi belanja yang satu ini bener"" bagus banget aplikasi nya, mudah juga di pakai untuk semua kalangan anak muda maupun orang tua",5,2,sma aplikasi belanja bener aplikasi mudah pakai kalang anak muda tua,858,1,,0.3541,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['sama', 'aplikasi', 'belanja', 'benar', 'aplikasi', 'mudah', 'pakai', 'kalang', 'anak', 'muda', 'tua']"
baru pertama nyoba udh dapet diskon mantep deh buat Tokopedia mksh yaaa :). (????),3,1,nyoba diskon mantep mksh yaaa,659,1,,0.286,"belanja, mudah, murah, bantu, online, sukses, amanah, aman, cepat, percaya","['coba', 'diskon', 'mantap', 'mksh', 'yaaa']"
"Ngirim pake SHOPEE EXPRESS kok gini,. Di keterangan barang udah sampai di tempat sortir di kotaku malem, tapi sampai 3 harian baru dianter ke rumah.. kok separah ini , mending milih expedisi yg lain dong kalo gitu.. ini si cuma masukan aja biar kedepannya konsumen puas,. Kalo gini terus takutnya konsumen banyak yg kecewa..",3,1,ngirim pake express gin terang barang sortir kota malem anter rumah mending milih expedisi konsumen gin takut konsumen,602,2,2,0.9581,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['ngirim', 'pakai', 'express', 'gin', 'terang', 'barang', 'sortir', 'kota', 'malam', 'antar', 'rumah', 'lebih baik', 'milih', 'expedisi', 'konsumen', 'gin', 'takut', 'konsumen']"
"Kalau ada minus gw pilih minus nih, dpt voucher gratis ongkir masa berlaku msh lama tp gak bisa dipakai. Dipilihan voucher nya gak ada. Order lagi klo nanti ada yg murah� aja utk menyesuaikan dgn ongkir.",1,0,minus pilih minus voucher gratis ongkir msh pakai pilih voucher order murah utk sesuai ongkir,295,2,2,0.9514,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['minus', 'pilih', 'minus', 'voucher', 'gratis', 'ongkir', 'masih', 'pakai', 'pilih', 'voucher', 'order', 'murah', 'untuk', 'sesuai', 'ongkir']"
Banyak yg jual mistery box penipu. Tolong di tindak seller2 yg sperti itu.merugikan konsumen.,1,0,jual mistery box tipu tolong tindak seller sperti rugi konsumen,335,2,2,0.931,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['jual', 'mistery', 'box', 'tipu', 'tolong', 'tindak', 'seller', 'sperti', 'rugi', 'konsumen']"
saya sudah transfer dana untuk barang yg di pesan. dan pesanan saya transfer sesuai dgn nominal. terus malah nggak di konfirmasi. ini saya menunggu sudah 4 hari..,1,0,transfer dana barang pesan pesan transfer sesuai nominal konfirmasi tunggu,363,2,2,0.93,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['transfer', 'dana', 'barang', 'pesan', 'pesan', 'transfer', 'sesuai', 'nominal', 'konfirmasi', 'tunggu']"
"Mantapp... yg terpenting pinter pinter pilih barang yg diinginkan, jangn sampai ketipu penjual",5,2,mantapp pinter pinter pilih barang jangn tipu jual,893,2,2,0.9161,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['mantapp', 'pinter', 'pinter', 'pilih', 'barang', 'jangn', 'tipu', 'jual']"
"Tolong dong pihak shopee, utk seller yg jual barang tdk sesuai foto harap di beri peringatan, sdh sering ini terjadi dgn saya.",3,1,tolong utk seller jual barang sesuai foto harap,590,2,2,0.9154,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['tolong', 'untuk', 'seller', 'jual', 'barang', 'sesuai', 'foto', 'harap']"
Di chat via akulaku ga direspon.. Di chat via jd.id putus ditengah jalan ..,1,0,chat via akulaku direspon chat via putus jalan,361,2,0,0.9127,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['chat', 'via', 'akulaku', 'respon', 'chat', 'via', 'putus', 'jalan']"
"Untuk pengirimannya daerah pelosok/terpencil sangat lama, oke kalo daerah jabodetabek memang sesuai hari kerja. Dan lagi ekspedisi hanya ada satu aja, mungkin lebih baik jika kerja sama ekspedisi  seperti via pos jne j&t dll agar customer enak , masa udah 2-3 minggu cuma daerah jateng barang lama bgt. Tolong untuk delivery di perbaiki. TERIMA KASIH",2,0,kirim daerah pelosok pencil daerah jabodetabek sesuai ekspedisi ekspedisi via pos customer minggu daerah jateng barang tolong delivery,404,2,2,0.9077,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['kirim', 'daerah', 'pelosok', 'pencil', 'daerah', 'jabodetabek', 'sesuai', 'ekspedisi', 'ekspedisi', 'via', 'pos', 'customer', 'minggu', 'daerah', 'jateng', 'barang', 'tolong', 'delivery']"
Hora niat kasih promo gratis ongkir kaya sopi kenapa biar ongkir gratis terus,1,0,hora niat promo gratis ongkir kaya ongkir gratis,291,2,2,0.9054,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['hora', 'niat', 'promo', 'gratis', 'ongkir', 'kaya', 'ongkir', 'gratis']"
Saran buat shoppe ekspres kalo melayani yg cekatan knp paket saya sudah 2 hari masih di sortir,2,0,saran shoppe ekspres layan cekat paket sortir,385,2,2,0.9053,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['saran', 'shoppe', 'ekspres', 'layan', 'cekat', 'paket', 'sortir']"
"lagi check out dibatalin gk boleh pake promo, lha buat apa ada promo",1,0,check out dibatalin pake promo lha promo,254,2,1,0.9051,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['check', 'out', 'dibatalin', 'pakai', 'promo', 'lha', 'promo']"
skrg shopee pelit voucher gratis ongkir buat yg cod,3,1,skrg pelit voucher gratis ongkir cod,521,2,2,0.8928,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['sekarang', 'pelit', 'voucher', 'gratis', 'ongkir', 'cod']"
Lebih mahel ongkir daripada harga barang kami yang di luar jabodetabek (NTB),1,0,mahel ongkir harga barang jabodetabek ntb,284,2,2,0.8922,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['mahel', 'ongkir', 'harga', 'barang', 'jabodetabek', 'ntb']"
Barang nya memang ori tpi pengiriman nya lama. Barang tidak di kemas dngn baik.,3,1,barang ori tpi kirim barang kemas,786,2,2,0.8921,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['barang', 'asli', 'tapi', 'kirim', 'barang', 'kemas']"
harga ongkir produk yang dikirim dari luar negeri sangatlah mahal ????????????,1,0,harga ongkir produk kirim negeri mahal,89,2,2,0.892,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['harga', 'ongkir', 'produk', 'kirim', 'negeri', 'mahal']"
"Pelayanan memuas kan selalu sesuai pesenan, kurir ramah trus bisa COD an",3,1,layan sesuai sen kurir ramah cod,479,2,2,0.8915,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['layan', 'sesuai', 'sen', 'kurir', 'ramah', 'cod']"
kadang flash sale diskon tapi harganya di markup dulu... ??,3,1,kadang flash sale diskon harga markup,735,2,1,0.8913,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['kadang', 'flash', 'sale', 'diskon', 'harga', 'markup']"
"Kembalikan sistem pengiriman seperti dulu yang bisa memilih jasa pengiriman dari perusahaan jasa mana saja. Masalahnya kalo yang sekarang pihak shopee yang milih secara acak ,kalau dapat jasa Antaraja lama banget suka sampe 5 hari lebih. Padahal kalo pake si cepat atau Jnt cuman 2 hari.",3,1,sistem kirim pilih jasa kirim usaha jasa milih acak jasa antaraja sampe pake cepat jnt cuman,669,2,2,0.8912,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['sistem', 'kirim', 'pilih', 'jasa', 'kirim', 'usaha', 'jasa', 'milih', 'acak', 'jasa', 'antaraja', 'sampai', 'pakai', 'cepat', 'jnt', 'cuman']"
Ongkirnya mahal bgt sekarang dibanding olshop2 sebelah... Padahal dulu suka bgt jd.id freeong smua,3,1,ongkirnya mahal banding olshop belah freeong,556,2,2,0.889,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['ongkir', 'mahal', 'banding', 'olshop', 'belah', 'freeong']"
"Tujuan etrt banking pembayarannya gk ketemu, bingung gmna aneh mau byr.",1,0,etrt banking bayar ketemu bingung aneh byr,271,2,2,0.8888,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['etrt', 'banking', 'bayar', 'ketemu', 'bingung', 'aneh', 'bayar']"
Aplikasi ribet katanya gratis ongkir pas di tambahkan harga clana 42rb total jadi 779900 ongkos ongkirnyo 33rb jatanyA gratis penipu,1,0,aplikasi ribet gratis ongkir pas harga clana rb total ongkos ongkirnyo rb jatanya gratis tipu,423,2,2,0.8854,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['aplikasi', 'ribet', 'gratis', 'ongkir', 'pas', 'harga', 'clana', 'ribu', 'total', 'ongkos', 'ongkirnyo', 'ribu', 'jatanya', 'gratis', 'tipu']"
"Shopee tolong dong Jangan tagihin aku terus, kAn aku sudah melunasi dan harusnya tidak ada tagihan hutang lagi tapi ini kenapa ada tagihannya dan rincian pembelian sama juga totalan tagihan juga sama dgn yg saya bayarkan. Tolong aktifin pembayaran pelunasan saya., Saya sudah bayar",1,0,tolong tagihin lunas tagih hutang tagih rincian beli total tagih bayar tolong aktifin bayar lunas bayar,294,2,2,0.8771,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['tolong', 'tagihin', 'lunas', 'tagih', 'hutang', 'tagih', 'rincian', 'beli', 'total', 'tagih', 'bayar', 'tolong', 'aktifin', 'bayar', 'lunas', 'bayar']"
Sekarang shopee udah gak bisa milih expedisi dan gak dpt voucher grtis ongkir.,3,1,milih expedisi voucher grtis ongkir,540,2,2,0.875,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['milih', 'expedisi', 'voucher', 'grtis', 'ongkir']"
Sekarang pelit gak di kasih gratis ongkir di sistem COD nya,1,0,pelit gratis ongkir sistem cod,51,2,2,0.8749,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['pelit', 'gratis', 'ongkir', 'sistem', 'cod']"
"Shopee sekrang gak jelas, mau menggunakan voucher free ongkir tdak bisa.??",1,0,sekrang voucher free ongkir tdak,218,2,2,0.8749,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['sekrang', 'voucher', 'free', 'ongkir', 'tdak']"
"Ga ada pilihan ekspedisi, kirim pakai id ekspress sampai lama bgt ??",1,0,pilih ekspedisi kirim pakai ekspress,365,2,2,0.8741,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['pilih', 'ekspedisi', 'kirim', 'pakai', 'ekspress']"
Aku suka sekali dngn hampir tiap minggu aku pesan aku puas dngn barang nya sesuai dngn foto..terima kasih zalora,5,2,minggu pesan barang sesuai foto,913,2,2,0.8741,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['minggu', 'pesan', 'barang', 'sesuai', 'foto']"
"Utk jasa kirim Shopee expres bisa di perbaiki lagi, karna sering terlalu lama dalam prosesnya....",3,1,utk jasa kirim expres proses,458,2,2,0.8731,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['untuk', 'jasa', 'kirim', 'expres', 'proses']"
Ada kupon cash back tapi tidak bisa digunakan wlpn masih berlaku. Aneh?,3,1,kupon cash back wlpn aneh,673,2,2,0.8707,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['kupon', 'cash', 'back', 'wlpn', 'aneh']"
"Dulu blibli selalu free ongkir, sekarang ga lagi. Ga semua free bny 
syaratnya. Agak kecewa sih. Cuma emg kadang harganya lebih murah dr olshop 
lain, cuma lebih sering mahal nya sih. Tolong dong blibli seperti dulu lagi 
bener2 free ongkir tanpa syarat",3,1,free ongkir free bny syarat kadang harga murah olshop mahal tolong bener free ongkir syarat,700,2,2,0.8676,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['free', 'ongkir', 'free', 'bny', 'syarat', 'kadang', 'harga', 'murah', 'olshop', 'mahal', 'tolong', 'benar', 'free', 'ongkir', 'syarat']"
"Pelayanan kostumer e-commerce terburuk yg pernah saya alami, pesanan pertama aja di batalkan sepihak sama tokopedia, complain respon lama, tidak ada penjelasan, main batal2 pesanan orang, tidak ada penyelesaian sama sekali. Ancur bgt pokoknya ini e-commerce",1,0,layan kostumer commerce alami pesan batal complain respon main batal pesan ancur commerce,321,2,2,0.8656,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['layan', 'kostumer', 'commerce', 'alami', 'pesan', 'batal', 'complain', 'respon', 'main', 'batal', 'pesan', 'hancur', 'commerce']"
"Tolong sampaikan ke kurirnya,apapun barang yg dipesan konsumen hrs dianter,jgn samoai menolak pesanan,akibatnya konsumen hrs byr biaya kirimnya jd 2x",3,1,tolong kurir barang pes konsumen hrs anter jgn samoai tolak pesan akibat konsumen hrs byr biaya kirim,504,2,2,0.8594,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['tolong', 'kurir', 'barang', 'pes', 'konsumen', 'harus', 'antar', 'jangan', 'samoai', 'tolak', 'pesan', 'akibat', 'konsumen', 'harus', 'bayar', 'biaya', 'kirim']"
kebaxakan barang yg sesuai dgn postingan,5,2,kebaxakan barang sesuai postingan,956,2,2,0.85,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['kebaxakan', 'barang', 'sesuai', 'postingan']"
Kurang puas kadang barang yang di beli ga sesuai sama apa yang kita mau,1,0,kadang barang beli sesuai,259,2,2,0.8496,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['kadang', 'barang', 'beli', 'sesuai']"
"Super kecewa banget!! Masa buat ""Beli Sekarang Bayar Nanti"" bunganya hampir 15% ??",3,1,super beli bayar bunga,577,2,2,0.8496,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['super', 'beli', 'bayar', 'bunga']"
Saya belum coba. Hanya produk yang di pajang sudah ready stok.,4,2,produk pajang ready stok,826,2,2,0.8492,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['produk', 'pajang', 'siap', 'stok']"
mulai kecewa masa beli barang udah 2 minggu blm ada kejelasanya,1,0,beli barang minggu jasa,448,2,2,0.8491,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['beli', 'barang', 'minggu', 'jasa']"
"Sekarang lazada gak bisa cod ya, gak kaya dulu banyak barang yg bisa cod",1,0,cod kaya barang cod,100,2,2,0.849,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['cod', 'kaya', 'barang', 'cod']"
Barang ori pengiriman cepat makasih,5,2,barang ori kirim cepat,802,2,2,0.8487,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['barang', 'asli', 'kirim', 'cepat']"
Tolong di perbarui biaya pengiriman nya soalnya mahal,1,0,tolong biaya kirim mahal,141,2,2,0.8485,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['tolong', 'biaya', 'kirim', 'mahal']"
Beli di shopee barang nya harga 38k ongkir nya 74k dong. Keren parah,1,0,beli barang harga ongkir,451,2,2,0.8484,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['beli', 'barang', 'harga', 'ongkir']"
semoga proses kiriman barangnya cepat,3,1,proses kirim barang cepat,555,2,2,0.8479,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['proses', 'kirim', 'barang', 'cepat']"
Barang sampai baru bayar krna saya sudah pernah ketipu.,3,1,barang bayar krna tipu,593,2,2,0.8476,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['barang', 'bayar', 'krna', 'tipu']"
Mohon diperhatikan utk kurir dr seller diluar Zalora krn hari ini ketika paket sy dtg yg harus dibayarkan 123.000 (SDH termasuk ongkir) tp sy bayar 130rb tdk dikembalikan sisanya. Sy tdk respect dgn kurir yg sprti itu menurut sy klo bkn dr keinginan customer yg memberi tips tolong jgn diambil yg bkn haknya.,3,1,perhati utk kurir seller paket dtg bayar ongkir bayar rb sisa respect kurir sprti bkn customer tips tolong jgn ambil bkn hak,689,2,2,0.8476,"barang, ongkir, kirim, bayar, gratis, beli, pesan, sesuai, pakai, cepat","['perhati', 'untuk', 'kurir', 'seller', 'paket', 'datang', 'bayar', 'ongkir', 'bayar', 'ribu', 'sisa', 'respect', 'kurir', 'seperti', 'bukan', 'customer', 'tips', 'tolong', 'jangan', 'ambil', 'bukan', 'hak']"
